smiles,inchikey
COc1ccc(-c2cc(=S)ss2)cc1,KYLIZBIRMBGUOP-UHFFFAOYSA-N
NC(=O)OCC(O)c1ccccc1,OCSOHUROTFFTFO-UHFFFAOYSA-N
CCOCCN(Cc1ccc(CN(CCOCC)C(=O)C(Cl)Cl)cc1)C(=O)C(Cl)Cl,MSJLJWCAEPENBL-UHFFFAOYSA-N
Clc1cc(Cl)c2c(c1)CCc1ccccc1C2n1ccnc1,MPTJIDOGFUQSQH-UHFFFAOYSA-N
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OC3=CCCC3)CC[C@@H]12,IUVKMZGDUIUOCP-BTNSXGMBSA-N
O=C1OC(c2ccc(O)c(S(=O)(=O)O)c2)(c2ccc(O)c(S(=O)(=O)O)c2)c2c(Br)c(Br)c(Br)c(Br)c21,OHTXTCNTQJFRIG-UHFFFAOYSA-N
CO[C@H]1[C@H]([C@@]2(C)O[C@@H]2CC=C(C)C)[C@]2(CC[C@H]1OC(=O)/C=C/C=C/C=C/C=C/C(=O)O)CO2,NGGMYCMLYOUNGM-CSDLUJIJSA-N
C=COC=C,QYKIQEUNHZKYBP-UHFFFAOYSA-N
CCOC(=O)/C(=C/c1ncc([N+](=O)[O-])n1C)C(C)=O,GCHKUUOPYMFGEY-VMPITWQZSA-N
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C[131I])[C@H]3CC[C@@]21C,FIOAEFCJGZJUPW-ODFYUTSGSA-N
CCCC(=O)Nc1c(I)cc(I)c(CC(CC)C(=O)O)c1I,YMOXVLQZFAUUKI-UHFFFAOYSA-N
CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,JOAHPSVPXZTVEP-YXJHDRRASA-N
O=C1CCC(=O)N1,KZNICNPSHKQLFF-UHFFFAOYSA-N
CCOC(=O)CCCCCCCCC(C)c1ccc(I)cc1,LAYLQVBQIBQVLL-UHFFFAOYSA-N
CNC(=O)CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,HHFIATHHSBFCBY-UHFFFAOYSA-N
CCCCNCC(=O)Nc1c(C)cccc1Cl,VWYQKFLLGRBICZ-UHFFFAOYSA-N
CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(O)c1ccccc1)C2,ZTVIKZXZYLEVOL-MCOXGKPRSA-N
C/C(=C(/OCCOc1ccc(Cl)cc1)c1ccc(Cl)cc1Cl)n1ccnc1,JMFOSJNGKJCTMJ-ZHZULCJRSA-N
Clc1ccc(C(Cn2ccnc2)OCc2ccc(Sc3ccccc3)cc2)c(Cl)c1,ZCJYUTQZBAIHBS-UHFFFAOYSA-N
CN(C(=O)C(Cl)Cl)c1ccc(O)cc1,GZZZSOOGQLOEOB-UHFFFAOYSA-N
CCCC[C@@H](O)/C=C(C)/C=C/C=C/C(=O)N1CCCC1=O,ZYPGADGCNXOUJP-CXVPHVKISA-N
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc([123I])c1O,CANPFCFJURGKAX-SCBSARHOSA-N
CCCCC[C@@H](O)[C@H]1C(=O)O[C@H](C)[C@@H](O)/C=C/C=C/C=C/C=C/C=C(\C)[C@@H](O)[C@H](O)[C@H](O)C[C@H](O)C[C@H](O)C[C@H](O)C[C@H](O)C[C@@H]1O,AGJUUQSLGVCRQA-SWOUQTJZSA-N
CCOC(=O)C1(c2ccccc2)CCN(CCC(O)c2ccccc2)CC1,IPOPQVVNCFQFRK-UHFFFAOYSA-N
CC1=CC[C@H](C(C)(C)O)C[C@@H]1O,OMDMTHRBGUBUCO-IUCAKERBSA-N
Nc1c(I)cc(I)c(C(=O)N(CCC(=O)O)c2ccccc2)c1I,FJYJNLIEGUTPIJ-UHFFFAOYSA-N
CC(=O)O[C@@H](C)C(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,HHPZZKDXAFJLOH-QZIXMDIESA-N
CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,VVDGWALACJEJKG-UHFFFAOYSA-N
Oc1c(I)cc(I)c2cccnc12,UXZFQZANDVDGMM-UHFFFAOYSA-N
CCOC(=O)CSCCC1NC(C(=O)O)CS1,IKOCLISPVJZJEA-UHFFFAOYSA-N
CC(SC(=O)c1cccs1)C(=O)NCC(=O)O,JNYSEDHQJCOWQU-UHFFFAOYSA-N
OCCOc1ccc(Cl)cc1,GEGSSUSEWOHAFE-UHFFFAOYSA-N
CCOC(CN1CCN(CC(C)C(=O)c2ccccc2)CC1)c1ccccc1,BSHWLCACYCVCJE-UHFFFAOYSA-N
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,DUHUCHOQIDJXAT-OLVMNOGESA-N
Oc1c(Br)cc(Br)c2cccnc12,ZDASUJMDVPTNTF-UHFFFAOYSA-N
CCCCCCc1ccc(O)cc1O,WFJIVOKAWHGMBH-UHFFFAOYSA-N
CCCOC(=O)c1sc(C(=O)OCCC)c(O)c1O,GUFHWUFYAOUKTI-UHFFFAOYSA-N
CC1=CC(=O)[C@H]2C[C@@H]1C2(C)C,DCSCXTJOXBUFGB-JGVFFNPUSA-N
OC(CNc1ccccn1)c1ccccc1,ZEAJXCPGHPJVNP-UHFFFAOYSA-N
O=C(C(Cl)Cl)N(CCO)Cc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,ODCUSWJXZDHLKV-UHFFFAOYSA-N
CCOC(=O)/C=C1\SC(N2CCCCC2)C(=O)N1CC,UAXYBJSAPFTPNB-KHPPLWFESA-N
OCC1COC(CI)O1,NEIPZWZQHXCYDV-UHFFFAOYSA-N
CCOC(=O)c1ccc(O)cc1,NUVBSKCKDOMJSU-UHFFFAOYSA-N
Cc1nc2ccccc2n1Cc1ccc(Cl)cc1,WNAQOLSMVPFGTE-UHFFFAOYSA-N
O=C(CCOCCOCCOCCOCCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I,WWVAPFRKZMUPHZ-UHFFFAOYSA-N
COc1cc(S(=O)(=O)O)ccc1O,QDRCGSIKAHSALR-UHFFFAOYSA-N
CSCC1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)O1,SRQKTCXJCCHINN-NYYWCZLTSA-N
C=C1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,YVHXHNGGPURVOS-SBTDHBFYSA-N
CC1(C)OC2(C)C(O)CC1CC2O,JSNQSLSBBZFGBM-UHFFFAOYSA-N
CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O,OIRFJRBSRORBCM-UHFFFAOYSA-N
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,WXURHACBFYSXBI-GQKYHHCASA-N
NC(=O)OCCCc1ccccc1,CAMYKONBWHRPDD-UHFFFAOYSA-N
CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,GNOGSFBXBWBTIG-UHFFFAOYSA-N
CCC(C)(C)c1ccc(CC(C)CN2C[C@H](C)O[C@H](C)C2)cc1,MQHLMHIZUIDKOO-AYHJJNSGSA-N
